state,city,water_system,zip_code,zip_codes,pfas_type,concentration_ppt,epa_limit_ppt,exceeds_limit,population_served,system_size,pwsid
AL,ALABASTER WATER BOARD,ALABASTER WATER BOARD,35007,35007|35040|35080|35114|35115,PFOA,21.0,4.0,True,10000,L,AL0001148
AL,ALABASTER WATER BOARD,ALABASTER WATER BOARD,35007,35007|35040|35080|35114|35115,PFOS,19.0,4.0,True,10000,L,AL0001148
AL,ALBERTVILLE UTILITIES BOARD,ALBERTVILLE UTILITIES BOARD,35950,35950|35951,PFOA,11.0,4.0,True,10000,L,AL0000933
AL,ALBERTVILLE UTILITIES BOARD,ALBERTVILLE UTILITIES BOARD,35950,35950|35951,PFOS,4.8,4.0,True,10000,L,AL0000933
AL,ARAB WATER WORKS BOARD,ARAB WATER WORKS BOARD,35016,35016|35175|35670|35754|35976,PFBS,3.2,2000.0,False,10000,L,AL0000934
AL,ARDMORE WATER SYSTEM,ARDMORE WATER SYSTEM,35739,35739|38449,PFBS,3.5,2000.0,False,3300,S,AL0001420
AL,ARDMORE WATER SYSTEM,ARDMORE WATER SYSTEM,35739,35739|38449,PFHxS,3.1,10.0,False,3300,S,AL0001420
AL,ARDMORE WATER SYSTEM,ARDMORE WATER SYSTEM,35739,35739|38449,PFOA,5.9,4.0,True,3300,S,AL0001420
AL,ARDMORE WATER SYSTEM,ARDMORE WATER SYSTEM,35739,35739|38449,PFOS,12.9,4.0,True,3300,S,AL0001420
AL,ASBURY WATER SYSTEM,ASBURY WATER SYSTEM,35951,35951|35962,PFBS,6.2,2000.0,False,3300,S,AL0000935
AL,ASBURY WATER SYSTEM,ASBURY WATER SYSTEM,35951,35951|35962,PFOA,9.1,4.0,True,3300,S,AL0000935
AL,ASBURY WATER SYSTEM,ASBURY WATER SYSTEM,35951,35951|35962,PFOS,5.8,4.0,True,3300,S,AL0000935
AL,AUBURN WATER WORKS,AUBURN WATER WORKS,36832,36832,PFOA,12.0,4.0,True,10000,L,AL0000804
AL,BELFOREST WATER SYSTEM,BELFOREST WATER SYSTEM,36526,36526|36532|36551,PFBS,5.1,2000.0,False,10000,L,AL0000025
AL,BELFOREST WATER SYSTEM,BELFOREST WATER SYSTEM,36526,36526|36532|36551,PFHxS,4.1,10.0,False,10000,L,AL0000025
AL,BELFOREST WATER SYSTEM,BELFOREST WATER SYSTEM,36526,36526|36532|36551,PFOA,4.5,4.0,True,10000,L,AL0000025
AL,BELFOREST WATER SYSTEM,BELFOREST WATER SYSTEM,36526,36526|36532|36551,PFOS,4.2,4.0,True,10000,L,AL0000025
AL,BESSEMER WATER SERVICE,BESSEMER WATER SERVICE,35020,35020|35023,PFBS,3.6,2000.0,False,10000,L,AL0000737
AL,BESSEMER WATER SERVICE,BESSEMER WATER SERVICE,35020,35020|35023,PFOS,5.9,4.0,True,10000,L,AL0000737
AL,BEULAH UTILITIES DISTRICT,BEULAH UTILITIES DISTRICT,36801,36801|36854,PFBS,3.2,2000.0,False,3300,S,AL0000180
AL,BEULAH UTILITIES DISTRICT,BEULAH UTILITIES DISTRICT,36801,36801|36854,PFOA,8.8,4.0,True,3300,S,AL0000180
AL,BEULAH UTILITIES DISTRICT,BEULAH UTILITIES DISTRICT,36801,36801|36854,PFOS,6.2,4.0,True,3300,S,AL0000180
AL,BIRMINGHAM WATER WORKS BOARD,BIRMINGHAM WATER WORKS BOARD,35004,35004|35005|35023|35060|35061|35062|35064|35068|35071|35073|35080|35091|35094|35116|35118|35126|35127|35133|35172|35180|35203|35204|35205|35206|35207|35208|35209|35210|35211|35212|35213|35214|35215|35216|35217|35218|35221|35222|35223|35224|35226|35228|35233|35234|35235|35242|35243|35244|35294,PFBS,7.9,2000.0,False,10000,L,AL0000738
AL,BOAZ WATER & SEWER BOARD,BOAZ WATER & SEWER BOARD,35957,35957,PFBS,3.7,2000.0,False,10000,L,AL0000936
AL,BOAZ WATER & SEWER BOARD,BOAZ WATER & SEWER BOARD,35957,35957,PFOA,10.0,4.0,True,10000,L,AL0000936
AL,BOAZ WATER & SEWER BOARD,BOAZ WATER & SEWER BOARD,35957,35957,PFOS,4.6,4.0,True,10000,L,AL0000936
AL,BRIDGEPORT UTILITIES BOARD,BRIDGEPORT UTILITIES BOARD,35740,35740,PFBS,3.1,2000.0,False,3300,S,AL0000713
AL,CENTRE WATER & SEWER BOARD,CENTRE WATER & SEWER BOARD,,,PFBS,77.0,2000.0,False,3300,S,AL0000188
AL,CENTRE WATER & SEWER BOARD,CENTRE WATER & SEWER BOARD,,,PFOA,5.2,4.0,True,3300,S,AL0000188
AL,CHILDERSBURG WATER & SEWER  BOARD,CHILDERSBURG WATER & SEWER  BOARD,35014,35014|35032|35044|35150|35151,PFBS,3.1,2000.0,False,3300,S,AL0001228
AL,CHILDERSBURG WATER & SEWER  BOARD,CHILDERSBURG WATER & SEWER  BOARD,35014,35014|35032|35044|35150|35151,PFHxS,6.0,10.0,False,3300,S,AL0001228
AL,CHILDERSBURG WATER & SEWER  BOARD,CHILDERSBURG WATER & SEWER  BOARD,35014,35014|35032|35044|35150|35151,PFOS,15.1,4.0,True,3300,S,AL0001228
AL,CHISHOLM HEIGHTS WATER & F P AUTHORITY,CHISHOLM HEIGHTS WATER & F P AUTHORITY,35630,35630,PFBS,4.3,2000.0,False,3300,S,AL0000777
AL,CHISHOLM HEIGHTS WATER & F P AUTHORITY,CHISHOLM HEIGHTS WATER & F P AUTHORITY,35630,35630,PFOA,5.2,4.0,True,3300,S,AL0000777
AL,CHISHOLM HEIGHTS WATER & F P AUTHORITY,CHISHOLM HEIGHTS WATER & F P AUTHORITY,35630,35630,PFOS,9.6,4.0,True,3300,S,AL0000777
AL,CLANTON WATER DEPARTMENT,CLANTON WATER DEPARTMENT,35045,35045|35046,PFBS,85.0,2000.0,False,10000,L,AL0000213
AL,CLANTON WATER DEPARTMENT,CLANTON WATER DEPARTMENT,35045,35045|35046,PFHxS,3.3,10.0,False,10000,L,AL0000213
AL,CLANTON WATER DEPARTMENT,CLANTON WATER DEPARTMENT,35045,35045|35046,PFOA,26.0,4.0,True,10000,L,AL0000213
AL,CLANTON WATER DEPARTMENT,CLANTON WATER DEPARTMENT,35045,35045|35046,PFOS,28.0,4.0,True,10000,L,AL0000213
AL,COLBERT COUNTY RURAL WATER SYSTEM,COLBERT COUNTY RURAL WATER SYSTEM,35616,35616|35646|35653|35661|35672|35674,PFBS,8.5,2000.0,False,10000,L,AL0000314
AL,COLBERT COUNTY RURAL WATER SYSTEM,COLBERT COUNTY RURAL WATER SYSTEM,35616,35616|35646|35653|35661|35672|35674,PFHxS,3.8,10.0,False,10000,L,AL0000314
AL,COLBERT COUNTY RURAL WATER SYSTEM,COLBERT COUNTY RURAL WATER SYSTEM,35616,35616|35646|35653|35661|35672|35674,PFOA,19.8,4.0,True,10000,L,AL0000314
AL,COLBERT COUNTY RURAL WATER SYSTEM,COLBERT COUNTY RURAL WATER SYSTEM,35616,35616|35646|35653|35661|35672|35674,PFOS,29.5,4.0,True,10000,L,AL0000314
AL,COLLINSVILLE WATER WORKS,COLLINSVILLE WATER WORKS,35951,35951|35954|35961|35962|35963,PFOA,52.5,4.0,True,3300,S,AL0000506
AL,COLLINSVILLE WATER WORKS,COLLINSVILLE WATER WORKS,35951,35951|35954|35961|35962|35963,PFOS,6.6,4.0,True,3300,S,AL0000506
AL,COOK SPRINGS WATER AUTHORITY,COOK SPRINGS WATER AUTHORITY,35094,35094|35120|35125|35128,PFBS,24.1,2000.0,False,3300,S,AL0001434
AL,COOK SPRINGS WATER AUTHORITY,COOK SPRINGS WATER AUTHORITY,35094,35094|35120|35125|35128,PFOA,4.0,4.0,False,3300,S,AL0001434
AL,CUMBERLAND MOUNTAIN WATER,CUMBERLAND MOUNTAIN WATER,35746,35746|35768|35776,PFBS,3.1,2000.0,False,3300,S,AL0000717
AL,DECATUR (MUNICIPAL UTILITIES BOARD OF),DECATUR (MUNICIPAL UTILITIES BOARD OF),35601,35601|35603|35622|35670|35671|35673,PFBS,3.4,2000.0,False,10000,L,AL0001084
AL,DEKALB-JACKSON WATER SUPPLY DISTRICT,DEKALB-JACKSON WATER SUPPLY DISTRICT,35772,35772,PFBS,7.7,2000.0,False,10000,L,AL0001796
AL,EAST ALABAMA WATER & FIRE PRO DISTRICT,EAST ALABAMA WATER & FIRE PRO DISTRICT,36274,36274|36852|36854|36855|36862|36863,PFBS,3.9,2000.0,False,10000,L,AL0000174
AL,ECLECTIC WATER WORKS & SEWER BOARD,ECLECTIC WATER WORKS & SEWER BOARD,36024,36024|36078,PFOS,5.0,4.0,True,3300,S,AL0000533
AL,FAIRHOPE WATER SYSTEM (CITY OF),FAIRHOPE WATER SYSTEM (CITY OF),36532,36532,PFOA,5.7,4.0,True,10000,L,AL0000035
AL,FAIRHOPE WATER SYSTEM (CITY OF),FAIRHOPE WATER SYSTEM (CITY OF),36532,36532,PFOS,15.0,4.0,True,10000,L,AL0000035
AL,FLORENCE WATER-WASTEWATER DEPARTMENT,FLORENCE WATER-WASTEWATER DEPARTMENT,35630,35630|35631|35633|35634|35645,PFBS,5.1,2000.0,False,10000,L,AL0000783
AL,FLORENCE WATER-WASTEWATER DEPARTMENT,FLORENCE WATER-WASTEWATER DEPARTMENT,35630,35630|35631|35633|35634|35645,PFOA,9.7,4.0,True,10000,L,AL0000783
AL,FLORENCE WATER-WASTEWATER DEPARTMENT,FLORENCE WATER-WASTEWATER DEPARTMENT,35630,35630|35631|35633|35634|35645,PFOS,17.0,4.0,True,10000,L,AL0000783
AL,FRIENDSHIP WATER WORKS,FRIENDSHIP WATER WORKS,36078,36078,PFOS,4.5,4.0,True,3300,S,AL0000537
AL,GADSDEN WATER WORKS AND SEWER BOARD,GADSDEN WATER WORKS AND SEWER BOARD,35901,35901|35902|35903|35904|35905|35906|35907,PFBS,155.4,2000.0,False,10000,L,AL0000577
AL,GADSDEN WATER WORKS AND SEWER BOARD,GADSDEN WATER WORKS AND SEWER BOARD,35901,35901|35902|35903|35904|35905|35906|35907,PFHxS,4.2,10.0,False,10000,L,AL0000577
AL,GADSDEN WATER WORKS AND SEWER BOARD,GADSDEN WATER WORKS AND SEWER BOARD,35901,35901|35902|35903|35904|35905|35906|35907,PFOA,32.0,4.0,True,10000,L,AL0000577
AL,GADSDEN WATER WORKS AND SEWER BOARD,GADSDEN WATER WORKS AND SEWER BOARD,35901,35901|35902|35903|35904|35905|35906|35907,PFOS,32.4,4.0,True,10000,L,AL0000577
AL,GRAND BAY WATER WORKS BOARD,GRAND BAY WATER WORKS BOARD,36541,36541,PFOA,31.4,4.0,True,10000,L,AL0000983
AL,GRAND BAY WATER WORKS BOARD,GRAND BAY WATER WORKS BOARD,36541,36541,PFOS,26.9,4.0,True,10000,L,AL0000983
AL,GREENHILL WATER & FIRE PRO AUTHORITY,GREENHILL WATER & FIRE PRO AUTHORITY,35634,35634,PFBS,4.3,2000.0,False,3300,S,AL0001423
AL,GREENHILL WATER & FIRE PRO AUTHORITY,GREENHILL WATER & FIRE PRO AUTHORITY,35634,35634,PFOA,10.6,4.0,True,3300,S,AL0001423
AL,GREENHILL WATER & FIRE PRO AUTHORITY,GREENHILL WATER & FIRE PRO AUTHORITY,35634,35634,PFOS,22.3,4.0,True,3300,S,AL0001423
AL,GROVE HILL WATER WORKS,GROVE HILL WATER WORKS,36451,36451,PFBS,6.0,2000.0,False,3300,S,AL0000255
AL,GROVE HILL WATER WORKS,GROVE HILL WATER WORKS,36451,36451,PFHxS,14.0,10.0,True,3300,S,AL0000255
AL,GROVE HILL WATER WORKS,GROVE HILL WATER WORKS,36451,36451,PFOA,5.0,4.0,True,3300,S,AL0000255
AL,GROVE HILL WATER WORKS,GROVE HILL WATER WORKS,36451,36451,PFOS,19.0,4.0,True,3300,S,AL0000255
AL,GUNTERSVILLE WATER WORKS & SEWER BOARD,GUNTERSVILLE WATER WORKS & SEWER BOARD,35976,35976,PFBS,3.3,2000.0,False,10000,L,AL0000943
AL,GUNTERSVILLE WATER WORKS & SEWER BOARD,GUNTERSVILLE WATER WORKS & SEWER BOARD,35976,35976,PFOA,6.8,4.0,True,10000,L,AL0000943
AL,GUNTERSVILLE WATER WORKS & SEWER BOARD,GUNTERSVILLE WATER WORKS & SEWER BOARD,35976,35976,PFOS,4.8,4.0,True,10000,L,AL0000943
AL,HANCEVILLE (THE WWSB OF THE CITY OF),HANCEVILLE (THE WWSB OF THE CITY OF),35077,35077,PFBS,3.3,2000.0,False,3300,S,AL0000406
AL,HARTSELLE UTILITY BOARD,HARTSELLE UTILITY BOARD,35640,35640,PFBS,4.4,2000.0,False,10000,L,AL0001086
AL,HARVEST-MONROVIA WATER SYSTEM,HARVEST-MONROVIA WATER SYSTEM,35742,35742|35749|35757|35773|35806,PFBS,4.7,2000.0,False,10000,L,AL0000878
AL,HARVEST-MONROVIA WATER SYSTEM,HARVEST-MONROVIA WATER SYSTEM,35742,35742|35749|35757|35773|35806,PFOA,4.8,4.0,True,10000,L,AL0000878
AL,HARVEST-MONROVIA WATER SYSTEM,HARVEST-MONROVIA WATER SYSTEM,35742,35742|35749|35757|35773|35806,PFOS,4.3,4.0,True,10000,L,AL0000878
AL,HAWK PRIDE MT WATER SYSTEM,HAWK PRIDE MT WATER SYSTEM,35674,35674,PFBS,6.3,2000.0,False,3300,S,AL0000316
AL,HAWK PRIDE MT WATER SYSTEM,HAWK PRIDE MT WATER SYSTEM,35674,35674,PFOA,5.5,4.0,True,3300,S,AL0000316
AL,HAWK PRIDE MT WATER SYSTEM,HAWK PRIDE MT WATER SYSTEM,35674,35674,PFOS,9.2,4.0,True,3300,S,AL0000316
AL,HELENA UTILITY BOARD,HELENA UTILITY BOARD,35022,35022|35080,PFBS,13.0,2000.0,False,10000,L,AL0001157
AL,HELENA UTILITY BOARD,HELENA UTILITY BOARD,35022,35022|35080,PFHxS,5.3,10.0,False,10000,L,AL0001157
AL,HELENA UTILITY BOARD,HELENA UTILITY BOARD,35022,35022|35080,PFOA,4.0,4.0,False,10000,L,AL0001157
AL,HELENA UTILITY BOARD,HELENA UTILITY BOARD,35022,35022|35080,PFOS,7.0,4.0,True,10000,L,AL0001157
AL,HIGHLAND WATER AUTHORITY,HIGHLAND WATER AUTHORITY,35904,35904|35954|35961,PFBS,134.3,2000.0,False,3300,S,AL0000580
AL,HIGHLAND WATER AUTHORITY,HIGHLAND WATER AUTHORITY,35904,35904|35954|35961,PFHxS,3.1,10.0,False,3300,S,AL0000580
AL,HIGHLAND WATER AUTHORITY,HIGHLAND WATER AUTHORITY,35904,35904|35954|35961,PFOA,26.7,4.0,True,3300,S,AL0000580
AL,HIGHLAND WATER AUTHORITY,HIGHLAND WATER AUTHORITY,35904,35904|35954|35961,PFOS,27.8,4.0,True,3300,S,AL0000580
AL,HOLTVILLE WATER SYSTEM,HOLTVILLE WATER SYSTEM,36022,36022|36051|36092,PFBS,62.0,2000.0,False,3300,S,AL0000540
AL,HOLTVILLE WATER SYSTEM,HOLTVILLE WATER SYSTEM,36022,36022|36051|36092,PFOA,17.0,4.0,True,3300,S,AL0000540
AL,HOLTVILLE WATER SYSTEM,HOLTVILLE WATER SYSTEM,36022,36022|36051|36092,PFOS,18.0,4.0,True,3300,S,AL0000540
AL,HUGULEY WATER AUTHORITY,HUGULEY WATER AUTHORITY,36863,36863,PFBS,5.4,2000.0,False,3300,S,AL0000177
AL,HUGULEY WATER AUTHORITY,HUGULEY WATER AUTHORITY,36863,36863,PFOS,4.2,4.0,True,3300,S,AL0000177
AL,HUNTSVILLE UTILITIES,HUNTSVILLE UTILITIES,35801,35801|35802|35803|35804|35805|35806|35807|35809|35810|35811|35812|35813|35814|35815|35816|35824|35893|35894|35895|35896|35897|35899,PFBS,6.2,2000.0,False,10000,L,AL0000882
AL,HUNTSVILLE UTILITIES,HUNTSVILLE UTILITIES,35801,35801|35802|35803|35804|35805|35806|35807|35809|35810|35811|35812|35813|35814|35815|35816|35824|35893|35894|35895|35896|35897|35899,PFOA,4.7,4.0,True,10000,L,AL0000882
AL,HUNTSVILLE UTILITIES,HUNTSVILLE UTILITIES,35801,35801|35802|35803|35804|35805|35806|35807|35809|35810|35811|35812|35813|35814|35815|35816|35824|35893|35894|35895|35896|35897|35899,PFOS,9.0,4.0,True,10000,L,AL0000882
AL,IRONDALE WATER SYSTEM,IRONDALE WATER SYSTEM,35094,35094|35210|35213,PFBS,3.5,2000.0,False,10000,L,AL0000751
AL,IRONDALE WATER SYSTEM,IRONDALE WATER SYSTEM,35094,35094|35210|35213,PFHxS,7.9,10.0,False,10000,L,AL0000751
AL,IRONDALE WATER SYSTEM,IRONDALE WATER SYSTEM,35094,35094|35210|35213,PFOA,5.1,4.0,True,10000,L,AL0000751
AL,IRONDALE WATER SYSTEM,IRONDALE WATER SYSTEM,35094,35094|35210|35213,PFOS,59.4,4.0,True,10000,L,AL0000751
AL,JACKSON COUNTY WATER AUTHORITY,JACKSON COUNTY WATER AUTHORITY,35745,35745|35746|35748|35751|35752|35764|35766|35768|35769|35772|35774|35776,PFBS,4.1,2000.0,False,3300,S,AL0001748
AL,JACKSON WATER WORKS & SEWER BOARD,JACKSON WATER WORKS & SEWER BOARD,36545,36545,PFOS,6.2,4.0,True,10000,L,AL0000256
AL,"JOPPA, HULACO & RYAN WATER AUTHORITY","JOPPA, HULACO & RYAN WATER AUTHORITY",35087,35087,PFBS,3.3,2000.0,False,3300,S,AL0000409
AL,LANETT WATER WORKS,LANETT WATER WORKS,36863,36863,PFBS,8.6,2000.0,False,3300,S,AL0000179
AL,LIMESTONE COUNTY WATER SYSTEM,LIMESTONE COUNTY WATER SYSTEM,35611,35611|35612|35613|35614|35620|35647|35652|35671|35742|35749|35756|35758,PFBS,12.4,2000.0,False,10000,L,AL0000833
AL,LIMESTONE COUNTY WATER SYSTEM,LIMESTONE COUNTY WATER SYSTEM,35611,35611|35612|35613|35614|35620|35647|35652|35671|35742|35749|35756|35758,PFHxS,6.8,10.0,False,10000,L,AL0000833
AL,LIMESTONE COUNTY WATER SYSTEM,LIMESTONE COUNTY WATER SYSTEM,35611,35611|35612|35613|35614|35620|35647|35652|35671|35742|35749|35756|35758,PFOA,8.7,4.0,True,10000,L,AL0000833
AL,LIMESTONE COUNTY WATER SYSTEM,LIMESTONE COUNTY WATER SYSTEM,35611,35611|35612|35613|35614|35620|35647|35652|35671|35742|35749|35756|35758,PFOS,11.1,4.0,True,10000,L,AL0000833
AL,LINCOLN (CITY OF),LINCOLN (CITY OF),35096,35096,PFBS,3.3,2000.0,False,10000,L,AL0001245
AL,LITTLEVILLE WATERWORKS,LITTLEVILLE WATERWORKS,35654,35654|35674,PFBS,6.6,2000.0,False,3300,S,AL0000320
AL,LITTLEVILLE WATERWORKS,LITTLEVILLE WATERWORKS,35654,35654|35674,PFOA,7.1,4.0,True,3300,S,AL0000320
AL,LITTLEVILLE WATERWORKS,LITTLEVILLE WATERWORKS,35654,35654|35674,PFOS,17.0,4.0,True,3300,S,AL0000320
AL,LOACHAPOKA WATER AUTHORITY,LOACHAPOKA WATER AUTHORITY,36830,36830|36832|36850|36860|36865|36879,PFBS,3.2,2000.0,False,10000,L,AL0000814
AL,LOACHAPOKA WATER AUTHORITY,LOACHAPOKA WATER AUTHORITY,36830,36830|36832|36850|36860|36865|36879,PFHxS,3.0,10.0,False,10000,L,AL0000814
AL,LOACHAPOKA WATER AUTHORITY,LOACHAPOKA WATER AUTHORITY,36830,36830|36832|36850|36860|36865|36879,PFOA,16.0,4.0,True,10000,L,AL0000814
AL,MACON COUNTY WATER AUTHORITY,MACON COUNTY WATER AUTHORITY,36029,36029|36031|36039|36064|36075|36078|36083|36087|36089|36444|36801|36802|36803|36804|36830|36831|36832|36849|36860|36865|36866|36867,PFOA,4.8,4.0,True,3300,S,AL0000867
AL,MADISON COUNTY WATER DEPARTMENT,MADISON COUNTY WATER DEPARTMENT,35739,35739|35741|35748|35749|35750|35759|35760|35761|35763|35773|35776|35810|35811,PFBS,4.7,2000.0,False,10000,L,AL0000888
AL,MADISON COUNTY WATER DEPARTMENT,MADISON COUNTY WATER DEPARTMENT,35739,35739|35741|35748|35749|35750|35759|35760|35761|35763|35773|35776|35810|35811,PFOS,5.0,4.0,True,10000,L,AL0000888
AL,MADISON WATER WORKS & SEWER,MADISON WATER WORKS & SEWER,35756,35756|35757|35758,PFBS,3.9,2000.0,False,10000,L,AL0000885
AL,"MARBURY WATER SYSTEM, INC.","MARBURY WATER SYSTEM, INC.",36051,36051,PFBS,73.0,2000.0,False,3300,S,AL0000013
AL,"MARBURY WATER SYSTEM, INC.","MARBURY WATER SYSTEM, INC.",36051,36051,PFOA,16.1,4.0,True,3300,S,AL0000013
AL,"MARBURY WATER SYSTEM, INC.","MARBURY WATER SYSTEM, INC.",36051,36051,PFOS,20.2,4.0,True,3300,S,AL0000013
AL,MARGARET WATER WORKS,MARGARET WATER WORKS,35112,35112|35120,PFBS,23.8,2000.0,False,3300,S,AL0001199
AL,MILLBROOK UTILITIES,MILLBROOK UTILITIES,36054,36054,PFBS,65.0,2000.0,False,3300,S,AL0000539
AL,MILLBROOK UTILITIES,MILLBROOK UTILITIES,36054,36054,PFOA,15.2,4.0,True,3300,S,AL0000539
AL,MILLBROOK UTILITIES,MILLBROOK UTILITIES,36054,36054,PFOS,18.1,4.0,True,3300,S,AL0000539
AL,MONTEVALLO WATER WORKS & SEWER,MONTEVALLO WATER WORKS & SEWER,35115,35115,PFBS,3.0,2000.0,False,3300,S,AL0001160
AL,MONTEVALLO WATER WORKS & SEWER,MONTEVALLO WATER WORKS & SEWER,35115,35115,PFHxS,5.9,10.0,False,3300,S,AL0001160
AL,MONTEVALLO WATER WORKS & SEWER,MONTEVALLO WATER WORKS & SEWER,35115,35115,PFOS,16.7,4.0,True,3300,S,AL0001160
AL,MOULTON WATER WORKS BOARD,MOULTON WATER WORKS BOARD,35650,35650,PFBS,5.4,2000.0,False,3300,S,AL0000798
AL,MUSCLE SHOALS UTILITY BOARD,MUSCLE SHOALS UTILITY BOARD,35661,35661|35662|35674,PFBS,5.1,2000.0,False,10000,L,AL0000321
AL,MUSCLE SHOALS UTILITY BOARD,MUSCLE SHOALS UTILITY BOARD,35661,35661|35662|35674,PFOA,9.6,4.0,True,10000,L,AL0000321
AL,MUSCLE SHOALS UTILITY BOARD,MUSCLE SHOALS UTILITY BOARD,35661,35661|35662|35674,PFOS,16.8,4.0,True,10000,L,AL0000321
AL,Mashantucket Pequot Water System,Mashantucket Pequot Water System,06338,06338,PFBS,3.6,2000.0,False,10000,L,010106001
AL,Mashantucket Pequot Water System,Mashantucket Pequot Water System,06338,06338,PFOA,7.4,4.0,True,10000,L,010106001
AL,NE MORGAN CO WATER AND SEWER AUTHORITY,NE MORGAN CO WATER AND SEWER AUTHORITY,35670,35670,PFBS,3.2,2000.0,False,10000,L,AL0001088
AL,NORTH BALDWIN UTILITIES,NORTH BALDWIN UTILITIES,36507,36507|36550|36578,PFHxS,8.6,10.0,False,10000,L,AL0000023
AL,NORTH BALDWIN UTILITIES,NORTH BALDWIN UTILITIES,36507,36507|36550|36578,PFOS,11.0,4.0,True,10000,L,AL0000023
AL,NORTHEAST ALABAMA WATER SYSTEM,NORTHEAST ALABAMA WATER SYSTEM,35755,35755|35950|35951|35956|35957|35959|35960|35961|35962|35963|35967|35968|35971|35973|35974|35975|35976|35978|35981|35983|35986|35988|35989|36775,PFBS,5.7,2000.0,False,10000,L,AL0001422
AL,NORTHEAST ALABAMA WATER SYSTEM,NORTHEAST ALABAMA WATER SYSTEM,35755,35755|35950|35951|35956|35957|35959|35960|35961|35962|35963|35967|35968|35971|35973|35974|35975|35976|35978|35981|35983|35986|35988|35989|36775,PFOA,11.9,4.0,True,10000,L,AL0001422
AL,NORTHEAST ALABAMA WATER SYSTEM,NORTHEAST ALABAMA WATER SYSTEM,35755,35755|35950|35951|35956|35957|35959|35960|35961|35962|35963|35967|35968|35971|35973|35974|35975|35976|35978|35981|35983|35986|35988|35989|36775,PFOS,5.6,4.0,True,10000,L,AL0001422
AL,NORTHEAST ETOWAH COUNTY WATER CO-OP,NORTHEAST ETOWAH COUNTY WATER CO-OP,35901,35901,PFBS,140.0,2000.0,False,3300,S,AL0000587
AL,NORTHEAST ETOWAH COUNTY WATER CO-OP,NORTHEAST ETOWAH COUNTY WATER CO-OP,35901,35901,PFHxS,3.0,10.0,False,3300,S,AL0000587
AL,NORTHEAST ETOWAH COUNTY WATER CO-OP,NORTHEAST ETOWAH COUNTY WATER CO-OP,35901,35901,PFOA,27.0,4.0,True,3300,S,AL0000587
AL,NORTHEAST ETOWAH COUNTY WATER CO-OP,NORTHEAST ETOWAH COUNTY WATER CO-OP,35901,35901,PFOS,20.0,4.0,True,3300,S,AL0000587
AL,ODENVILLE (UTIL BOARD OF THE TOWN OF),ODENVILLE (UTIL BOARD OF THE TOWN OF),35004,35004|35120|35146|35173|35953,PFBS,24.3,2000.0,False,10000,L,AL0001203
AL,ODENVILLE (UTIL BOARD OF THE TOWN OF),ODENVILLE (UTIL BOARD OF THE TOWN OF),35004,35004|35120|35146|35173|35953,PFOA,4.9,4.0,True,10000,L,AL0001203
